time,AQI
2021-04-07 00:00:00,109
2021-04-08 00:00:00,108
2021-04-09 00:00:00,97
2021-04-10 00:00:00,65
2021-04-11 00:00:00,73
2021-04-12 00:00:00,91
2021-04-13 00:00:00,70
2021-04-14 00:00:00,58
2021-04-15 00:00:00,146
2021-04-16 00:00:00,353
2021-04-17 00:00:00,86
2021-04-18 00:00:00,80
2021-04-19 00:00:00,69
2021-04-20 00:00:00,52
2021-04-21 00:00:00,50
2021-04-22 00:00:00,81
2021-04-23 00:00:00,99
2021-04-24 00:00:00,55
2021-04-25 00:00:00,58
2021-04-26 00:00:00,57
2021-04-27 00:00:00,82
2021-04-28 00:00:00,75
2021-04-29 00:00:00,96
2021-04-30 00:00:00,101
2021-03-01 00:00:00,54
2021-03-02 00:00:00,85
2021-03-03 00:00:00,80
2021-03-04 00:00:00,79
2021-03-05 00:00:00,123
2021-03-06 00:00:00,64
2021-03-07 00:00:00,73
2021-03-08 00:00:00,121
2021-03-09 00:00:00,111
2021-03-10 00:00:00,68
2021-03-11 00:00:00,88
2021-03-12 00:00:00,102
2021-03-13 00:00:00,98
2021-03-14 00:00:00,103
2021-03-15 00:00:00,139
2021-03-16 00:00:00,388
2021-03-17 00:00:00,208
2021-03-18 00:00:00,108
2021-03-19 00:00:00,114
2021-03-20 00:00:00,147
2021-03-21 00:00:00,85
2021-03-22 00:00:00,62
2021-03-23 00:00:00,83
2021-03-24 00:00:00,109
2021-03-25 00:00:00,111
2021-03-26 00:00:00,88
2021-03-27 00:00:00,127
2021-03-28 00:00:00,258
2021-03-29 00:00:00,398
2021-03-30 00:00:00,213
2021-03-31 00:00:00,121
2021-02-01 00:00:00,91
2021-02-02 00:00:00,99
2021-02-03 00:00:00,102
2021-02-04 00:00:00,109
2021-02-05 00:00:00,91
2021-02-06 00:00:00,75
2021-02-07 00:00:00,103
2021-02-08 00:00:00,72
2021-02-09 00:00:00,96
2021-02-10 00:00:00,145
2021-02-11 00:00:00,126
2021-02-12 00:00:00,143
2021-02-13 00:00:00,157
2021-02-14 00:00:00,131
2021-02-15 00:00:00,125
2021-02-16 00:00:00,65
2021-02-17 00:00:00,64
2021-02-18 00:00:00,86
2021-02-19 00:00:00,75
2021-02-20 00:00:00,70
2021-02-21 00:00:00,71
2021-02-22 00:00:00,102
2021-02-23 00:00:00,69
2021-02-24 00:00:00,72
2021-02-25 00:00:00,102
2021-02-26 00:00:00,142
2021-02-27 00:00:00,148
2021-02-28 00:00:00,84
2021-01-01 00:00:00,54
2021-01-02 00:00:00,93
2021-01-03 00:00:00,164
2021-01-04 00:00:00,194
2021-01-05 00:00:00,138
2021-01-06 00:00:00,90
2021-01-07 00:00:00,56
2021-01-08 00:00:00,44
2021-01-09 00:00:00,49
2021-01-10 00:00:00,54
2021-01-11 00:00:00,111
2021-01-12 00:00:00,160
2021-01-13 00:00:00,359
2021-01-14 00:00:00,323
2021-01-15 00:00:00,183
2021-01-16 00:00:00,152
2021-01-17 00:00:00,61
2021-01-18 00:00:00,74
2021-01-19 00:00:00,107
2021-01-20 00:00:00,133
2021-01-21 00:00:00,208
2021-01-22 00:00:00,273
2021-01-23 00:00:00,245
2021-01-24 00:00:00,249
2021-01-25 00:00:00,151
2021-01-26 00:00:00,153
2021-01-27 00:00:00,128
2021-01-28 00:00:00,137
2021-01-29 00:00:00,81
2021-01-30 00:00:00,72
2021-01-31 00:00:00,75
2020-12-01 00:00:00,199
2020-12-02 00:00:00,157
2020-12-03 00:00:00,167
2020-12-04 00:00:00,115
2020-12-05 00:00:00,100
2020-12-06 00:00:00,146
2020-12-07 00:00:00,168
2020-12-08 00:00:00,81
2020-12-09 00:00:00,121
2020-12-10 00:00:00,100
2020-12-11 00:00:00,140
2020-12-12 00:00:00,81
2020-12-13 00:00:00,76
2020-12-14 00:00:00,52
2020-12-15 00:00:00,78
2020-12-16 00:00:00,99
2020-12-17 00:00:00,142
2020-12-18 00:00:00,124
2020-12-19 00:00:00,81
2020-12-20 00:00:00,77
2020-12-21 00:00:00,80
2020-12-22 00:00:00,83
2020-12-23 00:00:00,85
2020-12-24 00:00:00,81
2020-12-25 00:00:00,60
2020-12-26 00:00:00,96
2020-12-27 00:00:00,195
2020-12-28 00:00:00,270
2020-12-29 00:00:00,129
2020-12-30 00:00:00,49
2020-12-31 00:00:00,42
2020-11-01 00:00:00,65
2020-11-02 00:00:00,56
2020-11-03 00:00:00,66
2020-11-04 00:00:00,79
2020-11-05 00:00:00,106
2020-11-06 00:00:00,83
2020-11-07 00:00:00,65
2020-11-08 00:00:00,67
2020-11-09 00:00:00,81
2020-11-10 00:00:00,113
2020-11-11 00:00:00,100
2020-11-12 00:00:00,130
2020-11-13 00:00:00,146
2020-11-14 00:00:00,140
2020-11-15 00:00:00,96
2020-11-16 00:00:00,163
2020-11-17 00:00:00,107
2020-11-18 00:00:00,37
2020-11-19 00:00:00,36
2020-11-20 00:00:00,55
2020-11-21 00:00:00,73
2020-11-22 00:00:00,72
2020-11-23 00:00:00,71
2020-11-24 00:00:00,67
2020-11-25 00:00:00,87
2020-11-26 00:00:00,157
2020-11-27 00:00:00,141
2020-11-28 00:00:00,113
2020-11-29 00:00:00,140
2020-11-30 00:00:00,200
2020-10-01 00:00:00,94
2020-10-02 00:00:00,63
2020-10-03 00:00:00,46
2020-10-04 00:00:00,56
2020-10-05 00:00:00,55
2020-10-06 00:00:00,70
2020-10-07 00:00:00,55
2020-10-08 00:00:00,76
2020-10-09 00:00:00,97
2020-10-10 00:00:00,127
2020-10-11 00:00:00,155
2020-10-12 00:00:00,93
2020-10-13 00:00:00,81
2020-10-14 00:00:00,57
2020-10-15 00:00:00,74
2020-10-16 00:00:00,94
2020-10-17 00:00:00,107
2020-10-18 00:00:00,72
2020-10-19 00:00:00,90
2020-10-20 00:00:00,110
2020-10-21 00:00:00,99
2020-10-22 00:00:00,135
2020-10-23 00:00:00,99
2020-10-24 00:00:00,93
2020-10-25 00:00:00,109
2020-10-26 00:00:00,135
2020-10-27 00:00:00,118
2020-10-28 00:00:00,98
2020-10-29 00:00:00,113
2020-10-30 00:00:00,124
2020-10-31 00:00:00,118
2020-09-01 00:00:00,54
2020-09-02 00:00:00,45
2020-09-03 00:00:00,49
2020-09-04 00:00:00,66
2020-09-05 00:00:00,59
2020-09-06 00:00:00,70
2020-09-07 00:00:00,75
2020-09-08 00:00:00,69
2020-09-09 00:00:00,72
2020-09-10 00:00:00,63
2020-09-11 00:00:00,51
2020-09-12 00:00:00,58
2020-09-13 00:00:00,64
2020-09-14 00:00:00,73
2020-09-15 00:00:00,67
2020-09-16 00:00:00,48
2020-09-17 00:00:00,56
2020-09-18 00:00:00,57
2020-09-19 00:00:00,67
2020-09-20 00:00:00,62
2020-09-21 00:00:00,53
2020-09-22 00:00:00,66
2020-09-23 00:00:00,87
2020-09-24 00:00:00,99
2020-09-25 00:00:00,99
2020-09-26 00:00:00,101
2020-09-27 00:00:00,79
2020-09-28 00:00:00,69
2020-09-29 00:00:00,71
2020-09-30 00:00:00,64
2020-08-01 00:00:00,60
2020-08-02 00:00:00,41
2020-08-03 00:00:00,46
2020-08-04 00:00:00,33
2020-08-05 00:00:00,23
2020-08-06 00:00:00,32
2020-08-07 00:00:00,21
2020-08-08 00:00:00,41
2020-08-09 00:00:00,60
2020-08-10 00:00:00,82
2020-08-11 00:00:00,60
2020-08-12 00:00:00,47
2020-08-13 00:00:00,34
2020-08-14 00:00:00,51
2020-08-15 00:00:00,36
2020-08-16 00:00:00,46
2020-08-17 00:00:00,68
2020-08-18 00:00:00,32
2020-08-19 00:00:00,36
2020-08-20 00:00:00,32
2020-08-21 00:00:00,44
2020-08-22 00:00:00,50
2020-08-23 00:00:00,64
2020-08-24 00:00:00,48
2020-08-25 00:00:00,58
2020-08-26 00:00:00,72
2020-08-27 00:00:00,72
2020-08-28 00:00:00,89
